"ICAO","IATA","airport","city","nation"
"YMIN","XML","Minlaton Airport","Minlaton","澳洲"
"YMLT","LST","Launceston","Launceston","澳大利亞"
"YMML","MEL","墨爾本國際機場","墨爾本","澳洲"
"YMNE","WME","Mount Keith Airport","Mount Keith","澳洲"
"YMRY","MYA","Moruya","Moruya","澳大利亞"
"YNPE","ABM","北半島機場","昆士蘭州巴馬加","澳大利亞"
"YNWN","ZNE","Newman Airport","Newman","澳大利亞"
"YOLA","XCO","Colac Airport","Colac","澳洲"
"YORG","OAG","Springhill","Orange","澳大利亞"
"YPAD","ADL","阿德萊德機場","南澳大利亞州阿德萊德","澳大利亞"
"YPBO","PBO","Paraburdoo","Paraburdoo","澳大利亞"
"YPDN","DRW","達爾文國際機場","達爾文，北領地","澳大利亞"
"YPEC","BEO","貝爾蒙特機場","新南威爾士州紐卡斯爾","澳大利亞"
"YPGV","GOV","戈夫機場","紐倫拜","澳大利亞"
"YPKS","PKE","Parkes","Parkes","澳大利亞"
"YPLC","PLO","Port Lincoln","Port Lincoln","澳大利亞"
"YPLM","LEA","","Learmonth","澳大利亞"
"YPMP","EDR","愛德華河機場","Pormpuraaw","澳大利亞"
"YPMQ","PQQ","Port Macquarie","Port Macquarie","澳大利亞"
"YPPD","PHE","Port Hedlan","Port Hedland","澳大利亞"
"YPPH","PER","Perth","珀斯","澳大利亞"
"YPTN","KTR","Tindal","Katherine","澳洲"
"YPXM","XCH","聖誕島機場","聖誕島","澳洲"
"YROM","RMA","Roma","Roma","澳大利亞"
"YSBK","BWU","賓士鎮市機場","新南威爾士州賓士鎮市","澳大利亞"
"YSCB","CBR","坎培拉國際機場","坎培拉","澳大利亞"
"YSCN","CDU","卡姆登機場","卡姆登，新南威爾士州","澳大利亞"
"YSDU","DBO","多寶市支線機場","多寶，新南威爾士州","澳大利亞"
"YSGE","SGO","St George","St George","澳大利亞"
"YSGW","ZGL","South Galway Airport","South Galway","澳大利亞"
"YSSY","SYD","京斯福特·史密斯機場","雪梨","澳洲"
"YSTW","TMW","Tamworth","Tamworth, 新南威爾士州","澳大利亞"
"YSWG","WGA","Wagga Wagga Airport","沃加沃加","澳洲"
"YTAA","XTR","Tara Airport","Tara","澳洲"
"YTAM","XTO","Taroom Airport","Taroom","澳洲"
"YTGM","XTG","Thargomindah Airport","Thargomindah","澳洲"
"YTWB","TWB","Toowoomba","Toowoomba, 昆士蘭州","澳大利亞"
"YUNY","CZY","Cluny機場","Cluny，昆士蘭州","澳大利亞"
"YWHI","WSY","Whitsunday Airstrip","Airlie Beach","澳洲"
"YWLM","NTL","Williamtown","Newcastle","澳大利亞"
"YWOL","WOL","Illawarra Regional Airport","Shellharbour","澳洲"
"YWOR","WLL","Wollogorang Airport","Wollogorang","澳洲"
"YWTL","WLO","Waterloo Airport","Waterloo","澳洲"
